OsImageName,ScuImageName,ConfigurationSource,InstallMethod,InstallTargetType,,,,,,,
Esxi8u2,LBMR1_P2,Cisco,vMedia,U.2 NVME,,,,,,,
SerialNumber,InstallTarget,IpConfigType,IpAddress,NetMask/Prefix,Gateway,NameServer,AlternateNameServers,HostName,IpConfigurationType,Password,IsPasswordEnCrypted
XXXXXXXXXX,NVMe-direct-U.2-drives:aaaaaaaaa,Static,10.10.10.10,255.255.255.0,10.10.10.1,20.20.20.20,30.30.30.30,osinstall.cisco.com,IpV4,Password@12345,FALSE
XXXXXXXXXY,NVMe-direct-U.2-drives:aaaaaaaab,,10.10.10.11,255.255.255.0,10.10.10.1,20.20.20.20,30.30.30.30,,,,
XXXXXXXXXZ,NVMe-direct-U.2-drives:aaaaaaaac,,10.10.10.12,255.255.255.0,10.10.10.1,20.20.20.20,30.30.30.30,,,,
XXXXXXXXXA,NVMe-direct-U2-drives:aaaaaaaad,,10.10.10.13,255.255.255.0,10.10.10.1,20.20.20.20,30.30.30.30,,,,
XXXXXXXXXB,NVMe-direct-U.2-drives:aaaaaaaae,,10.10.10.14,255.255.255.0,10.10.10.1,20.20.20.20,30.30.30.30,,,,
XXXXXXXXXC,NVMe-direct-U.2-drives:aaaaaaaaf,,10.10.10.15,255.255.255.0,10.10.10.1,20.20.20.20,30.30.30.30,,,,
XXXXXXXXXD,NVMe-direct-U.2-drives:aaaaaaaag,,10.10.10.16,255.255.255.0,10.10.10.1,20.20.20.20,30.30.30.30,,,,
